date,school,oct2023,oct2024,oct2025,count,k,g1,g2,g3,g4,g5
2026-08-21,BEAR CREEK,298,318,312,331,43.0,60.0,53.0,51.0,58.0,66.0
2026-08-21,BIRCH,279,276,261,257,45.0,37.0,43.0,37.0,40.0,55.0
2026-08-21,BCSIS,265,254,253,227,27.0,39.0,35.0,44.0,34.0,48.0
2026-08-21,BOULDER UNIVERSAL,42,46,39,40,3.0,2.0,7.0,5.0,9.0,14.0
2026-08-21,COAL CREEK,305,283,269,256,55.0,37.0,35.0,45.0,35.0,49.0
2026-08-21,COLUMBINE,352,343,313,301,47.0,60.0,40.0,53.0,49.0,52.0
2026-08-21,CREEKSIDE,333,327,288,252,29.0,33.0,38.0,44.0,49.0,59.0
2026-08-21,CREST VIEW,410,390,330,334,47.0,53.0,51.0,44.0,58.0,81.0
2026-08-21,DOUGLASS,286,282,281,285,43.0,42.0,41.0,50.0,56.0,53.0
2026-08-21,EISENHOWER,311,276,265,234,34.0,39.0,30.0,42.0,45.0,44.0
2026-08-21,ELDORADO K-5,263,256,252,274,49.0,45.0,42.0,41.0,45.0,52.0
2026-08-21,EMERALD,355,347,365,360,69.0,67.0,62.0,41.0,58.0,63.0
2026-08-21,FIRESIDE,396,397,406,401,72.0,77.0,53.0,58.0,80.0,61.0
2026-08-21,FLATIRONS,164,163,151,147,18.0,28.0,19.0,30.0,32.0,20.0
2026-08-21,FOOTHILL,437,418,434,449,65.0,71.0,63.0,80.0,86.0,84.0
2026-08-21,GOLD HILL,12,10,11,11,3.0,1.0,0.0,2.0,3.0,2.0
2026-08-21,HEATHERWOOD,226,233,225,226,39.0,32.0,41.0,40.0,30.0,44.0
2026-08-21,HIGH PEAKS,245,257,283,304,51.0,52.0,53.0,47.0,51.0,50.0
2026-08-21,HORIZONS K-5,242,238,245,250,36.0,41.0,42.0,41.0,44.0,46.0
2026-08-21,JAMESTOWN,18,17,17,18,2.0,4.0,4.0,2.0,3.0,3.0
2026-08-21,KOHL,251,254,256,247,31.0,49.0,40.0,40.0,46.0,41.0
2026-08-21,LAFAYETTE,444,465,450,395,45.0,69.0,70.0,63.0,69.0,79.0
2026-08-21,LOUISVILLE,422,417,382,380,66.0,55.0,69.0,56.0,61.0,73.0
2026-08-21,MEADOWLARK K-5,464,468,471,486,83.0,82.0,81.0,73.0,81.0,86.0
2026-08-21,MESA,233,230,224,202,24.0,28.0,35.0,31.0,38.0,46.0
2026-08-21,MONARCH K-5,274,264,264,266,35.0,42.0,41.0,39.0,50.0,59.0
2026-08-21,MONTESSORI SCHOOL,227,232,193,184,40.0,28.0,35.0,26.0,31.0,24.0
2026-08-21,NEDERLAND,165,172,166,165,30.0,24.0,30.0,25.0,26.0,30.0
2026-08-21,PEAK TO PEAK K-5,447,445,450,447,73.0,71.0,72.0,75.0,78.0,78.0
2026-08-21,PIONEER,415,397,371,389,88.0,62.0,60.0,65.0,56.0,58.0
2026-08-21,RYAN,426,410,393,414,64.0,60.0,55.0,73.0,81.0,81.0
2026-08-21,SANCHEZ,285,290,276,248,31.0,34.0,51.0,30.0,53.0,49.0
2026-08-21,SUPERIOR,429,416,433,413,61.0,77.0,56.0,76.0,74.0,69.0
2026-08-21,UNIVERSITY HILL,372,380,368,351,48.0,63.0,52.0,54.0,70.0,64.0
2026-08-21,WHITTIER,291,267,257,249,38.0,35.0,42.0,45.0,48.0,41.0
2026-08-21,TOTAL ELEMENTARY,10804,10681,10427,10291,,,,,,
2026-08-25,ASPEN CREEK K-5,420,443,473,498,90.0,78.0,80.0,73.0,89.0,88.0
2026-08-25,BEAR CREEK,298,318,312,331,43.0,60.0,53.0,51.0,58.0,66.0
2026-08-25,BIRCH,279,276,261,257,44.0,37.0,43.0,38.0,40.0,55.0
2026-08-25,BCSIS,265,254,253,226,27.0,39.0,34.0,44.0,34.0,48.0
2026-08-25,BOULDER UNIVERSAL,42,46,39,41,3.0,2.0,8.0,5.0,10.0,13.0
2026-08-25,COAL CREEK,305,283,269,256,55.0,37.0,35.0,45.0,35.0,49.0
2026-08-25,COLUMBINE,352,343,313,302,47.0,60.0,40.0,53.0,49.0,53.0
2026-08-25,CREEKSIDE,333,327,288,252,29.0,33.0,38.0,44.0,49.0,59.0
2026-08-25,CREST VIEW,410,390,330,332,47.0,53.0,50.0,43.0,58.0,81.0
2026-08-25,DOUGLASS,286,282,281,285,43.0,42.0,41.0,50.0,56.0,53.0
2026-08-25,EISENHOWER,311,276,265,234,34.0,39.0,30.0,42.0,45.0,44.0
2026-08-25,ELDORADO K-5,263,256,252,274,49.0,45.0,42.0,41.0,45.0,52.0
2026-08-25,EMERALD,355,347,365,360,71.0,67.0,62.0,41.0,57.0,62.0
2026-08-25,FIRESIDE,396,397,406,400,72.0,77.0,53.0,58.0,80.0,60.0
2026-08-25,FLATIRONS,164,163,151,148,19.0,28.0,19.0,30.0,32.0,20.0
2026-08-25,FOOTHILL,437,418,434,445,64.0,71.0,62.0,80.0,85.0,83.0
2026-08-25,GOLD HILL,12,10,11,11,3.0,1.0,0.0,2.0,3.0,2.0
2026-08-25,HEATHERWOOD,226,233,225,226,39.0,32.0,41.0,40.0,30.0,44.0
2026-08-25,HIGH PEAKS,245,257,283,304,51.0,52.0,53.0,47.0,51.0,50.0
2026-08-25,HORIZONS K-5,242,238,245,250,36.0,41.0,42.0,41.0,44.0,46.0
2026-08-25,JAMESTOWN,18,17,17,18,2.0,4.0,4.0,2.0,3.0,3.0
2026-08-25,KOHL,251,254,256,248,31.0,49.0,40.0,40.0,47.0,41.0
2026-08-25,LAFAYETTE,444,465,450,394,45.0,68.0,70.0,63.0,68.0,80.0
2026-08-25,LOUISVILLE,422,417,382,377,66.0,54.0,68.0,56.0,60.0,73.0
2026-08-25,MEADOWLARK K-5,464,468,471,484,83.0,82.0,81.0,72.0,80.0,86.0
2026-08-25,MESA,233,230,224,202,24.0,28.0,35.0,31.0,38.0,46.0
2026-08-25,MONARCH K-5,274,264,264,265,35.0,42.0,40.0,39.0,50.0,59.0
2026-08-25,MONTESSORI SCHOOL,227,232,193,180,38.0,28.0,35.0,26.0,29.0,24.0
2026-08-25,NEDERLAND,165,172,166,165,30.0,24.0,30.0,25.0,26.0,30.0
2026-08-25,PEAK TO PEAK K-5,447,445,450,448,73.0,71.0,72.0,76.0,78.0,78.0
2026-08-25,PIONEER,415,397,371,388,88.0,62.0,59.0,65.0,56.0,58.0
2026-08-25,RYAN,426,410,393,416,64.0,60.0,55.0,73.0,82.0,82.0
2026-08-25,SANCHEZ,285,290,276,246,29.0,34.0,51.0,30.0,53.0,49.0
2026-08-25,SUPERIOR,429,416,433,414,62.0,77.0,56.0,76.0,74.0,69.0
2026-08-25,UNIVERSITY HILL,372,380,368,351,48.0,63.0,52.0,54.0,70.0,64.0
2026-08-25,WHITTIER,291,267,257,252,38.0,36.0,43.0,45.0,48.0,42.0
2026-08-25,TOTAL ELEMENTARY,10804,10681,10427,10280,,,,,,
2026-08-28,ASPEN CREEK K-5,420,443,473,499,91.0,78.0,80.0,73.0,89.0,88.0
2026-08-28,BEAR CREEK,298,318,312,330,43.0,60.0,52.0,51.0,58.0,66.0
2026-08-28,BIRCH,279,276,261,256,44.0,37.0,43.0,38.0,40.0,54.0
2026-08-28,BCSIS,265,254,253,226,27.0,39.0,34.0,44.0,34.0,48.0
2026-08-28,BOULDER UNIVERSAL,42,46,39,40,3.0,2.0,8.0,5.0,10.0,12.0
2026-08-28,COAL CREEK,305,283,269,256,55.0,37.0,35.0,45.0,35.0,49.0
2026-08-28,COLUMBINE,352,343,313,304,49.0,60.0,39.0,53.0,49.0,54.0
2026-08-28,CREEKSIDE,333,327,288,252,29.0,33.0,38.0,44.0,49.0,59.0
2026-08-28,CREST VIEW,410,390,330,332,46.0,53.0,50.0,43.0,59.0,81.0
2026-08-28,DOUGLASS,286,282,281,285,43.0,42.0,41.0,50.0,56.0,53.0
2026-08-28,EISENHOWER,311,276,265,231,34.0,39.0,30.0,42.0,42.0,44.0
2026-08-28,ELDORADO K-5,263,256,252,274,49.0,45.0,42.0,41.0,45.0,52.0
2026-08-28,EMERALD,355,347,365,362,71.0,68.0,63.0,40.0,57.0,63.0
2026-08-28,FIRESIDE,396,397,406,399,72.0,77.0,53.0,58.0,79.0,60.0
2026-08-28,FLATIRONS,164,163,151,148,19.0,28.0,19.0,30.0,32.0,20.0
2026-08-28,FOOTHILL,437,418,434,446,65.0,71.0,63.0,80.0,85.0,82.0
2026-08-28,GOLD HILL,12,10,11,11,3.0,1.0,0.0,2.0,3.0,2.0
2026-08-28,HEATHERWOOD,226,233,225,226,39.0,32.0,41.0,40.0,30.0,44.0
2026-08-28,HIGH PEAKS,245,257,283,304,51.0,52.0,53.0,47.0,51.0,50.0
2026-08-28,HORIZONS K-5,242,238,245,250,36.0,41.0,42.0,41.0,44.0,46.0
2026-08-28,JAMESTOWN,18,17,17,18,2.0,4.0,4.0,2.0,3.0,3.0
2026-08-28,KOHL,251,254,256,249,31.0,49.0,41.0,40.0,47.0,41.0
2026-08-28,LAFAYETTE,444,465,450,394,45.0,68.0,69.0,63.0,68.0,81.0
2026-08-28,LOUISVILLE,422,417,382,376,66.0,53.0,68.0,56.0,60.0,73.0
2026-08-28,MEADOWLARK K-5,464,468,471,484,83.0,82.0,81.0,71.0,81.0,86.0
2026-08-28,MESA,233,230,224,204,25.0,28.0,36.0,31.0,38.0,46.0
2026-08-28,MONARCH K-5,274,264,264,264,34.0,42.0,40.0,39.0,50.0,59.0
2026-08-28,MONTESSORI SCHOOL,227,232,193,178,37.0,29.0,35.0,24.0,29.0,24.0
2026-08-28,NEDERLAND,165,172,166,164,29.0,24.0,30.0,25.0,26.0,30.0
2026-08-28,PEAK TO PEAK K-5,447,445,450,450,73.0,71.0,72.0,78.0,78.0,78.0
2026-08-28,PIONEER,415,397,371,383,86.0,62.0,57.0,65.0,55.0,58.0
