school,vintage,school_year,measure,value,data_type,_source,_page,_table,extraction,verified_against_primary
Bear Creek,feb2026,2030-31,rounds,2.1,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,capacity,capacity,418.0,capacity,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,capacity,capacity_rounds,3.0,capacity,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2025-26,enrollment,224.0,actual (as printed),data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2025-26,pct_capacity,54.0,actual (as printed),data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2025-26,rounds,1.5,actual (as printed),data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2026-27,enrollment,217.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2026-27,pct_capacity,52.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2026-27,rounds,1.4,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2027-28,enrollment,203.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2027-28,pct_capacity,49.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
