spec,key,fit_through,vintage,target_fall,horizon,actual,p50,p2_5,p10,p25,p75,p90,p97_5,in50,in80,in95,above_p90,below_p10,ape_model,pct_err_model,ape_bvsd
trend,emeraldelementaryschool,2023,jan2024,2024,1,347.0,340.2079971343942,308.5654718432807,319.80260974999175,328.93899628267593,352.1104641665239,361.80855848724946,370.68978148796634,True,True,True,False,False,1.9573495289930287,-1.9573495289930287,0.8645533141210374
trend,emeraldelementaryschool,2023,jan2024,2025,2,365.0,331.93682046052965,291.7699572560418,304.993942431343,317.1709841348128,346.8761354802895,360.46874998911,376.98928809025534,False,False,True,True,False,9.05840535327955,-9.05840535327955,8.493150684931507
trend,firesideelementaryschool,2023,jan2024,2024,1,397.0,393.8023493744858,342.60907592870524,349.63664020779055,382.0018505787375,406.5175155493856,435.68836937641294,441.25808993244334,True,True,True,False,False,0.8054535580640302,-0.8054535580640302,3.27455919395466
trend,firesideelementaryschool,2023,jan2024,2025,2,406.0,386.49764611225675,324.09106314064235,339.6212438806118,366.7160272639024,408.36013755213764,431.7389376558813,447.9237682412153,True,True,True,False,False,4.803535440330851,-4.803535440330851,5.665024630541872
trend,flatironselementaryschool,2023,jan2024,2024,1,163.0,167.06426301464194,141.99764525877396,144.8510546451115,161.698083972754,171.4505851415954,190.62670617751408,193.52227516011055,True,True,True,False,False,2.493412892418367,2.493412892418367,0.6134969325153374
trend,flatironselementaryschool,2023,jan2024,2025,2,151.0,163.84799745781433,134.8395023714156,140.64627497770763,155.67865950360274,175.13923771744282,187.08371336956236,198.40344494256857,False,True,True,False,False,8.50860758795651,8.50860758795651,5.298013245033113
trend,foothillelementaryschool,2023,jan2024,2024,1,418.0,429.31442468829846,385.91487398856356,393.23454677193837,402.3173998221613,444.6931178395662,450.9970712622891,455.4916550729761,True,True,True,False,False,2.706800164664703,2.706800164664703,0.9569377990430622
trend,foothillelementaryschool,2023,jan2024,2025,2,434.0,422.20664127409185,357.18241042944476,378.0163401672141,400.6047440337797,448.0205537298424,469.2637904271718,483.20621969787027,True,True,True,False,False,2.717363761729988,-2.717363761729988,3.456221198156682
trend,heatherwoodelementaryschool,2023,jan2024,2024,1,233.0,220.76023571534188,192.5177960331127,199.7148945806026,209.48370964075457,227.46441032112435,232.65865546429282,237.07246439366432,False,False,True,True,False,5.253117718737392,-5.253117718737392,2.575107296137339
trend,heatherwoodelementaryschool,2023,jan2024,2025,2,225.0,199.40462164166627,168.51902014016682,177.62500098618213,187.08594910618268,210.99125540858665,220.8134291568059,230.71622445608278,False,False,True,True,False,11.375723714814992,-11.375723714814992,3.555555555555556
trend,kohlelementaryschool,2023,jan2024,2024,1,254.0,234.13019693204456,211.81608275982254,216.52289550853308,229.65906431863277,238.17611076108034,242.27275969446058,246.14763987099843,False,False,False,True,False,7.822757113368286,-7.822757113368286,6.299212598425197
trend,kohlelementaryschool,2023,jan2024,2025,2,256.0,215.1737331113696,189.3629541125314,198.30635282193484,206.41150960275593,223.14359192182206,229.56369129350458,236.39926336563659,False,False,False,True,False,15.947760503371256,-15.947760503371256,8.59375
trend,lafayetteelementaryschool,2023,jan2024,2024,1,465.0,444.77490475897537,322.7612459689791,330.50065780596475,401.31867265645013,471.0741426658957,478.49142629037766,483.0413066788287,True,True,True,False,False,4.349482847532179,-4.349482847532179,0.4301075268817204
trend,lafayetteelementaryschool,2023,jan2024,2025,2,450.0,406.6968100073833,275.2497661573155,314.27166116120657,353.6201520304712,452.5731778212021,480.3087843128085,498.33325112061,True,True,True,False,False,9.622931109470377,-9.622931109470377,0.6666666666666666
trend,louisvilleelementaryschool,2023,jan2024,2024,1,417.0,404.06497201451157,352.0523470293286,357.75462324286394,396.4739419025831,426.2427359749511,434.9387376712298,440.2549444190365,True,True,True,False,False,3.1019251763761226,-3.1019251763761226,2.158273381294964
trend,louisvilleelementaryschool,2023,jan2024,2025,2,382.0,381.94501282778003,320.85647643574555,336.34833965061284,361.64342232135135,403.8643925977293,419.5209071373398,439.61735909255833,True,True,True,False,False,0.014394547701562004,-0.014394547701562004,2.8795811518324608
