png,y,x,conf,text
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,1141,75,0.994,BVSD
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,1146,2083,1.0,51
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,56,59,0.994,ResilientSchoolsProposal|Boulder
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,101,57,0.993,All Proposed Changes
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,268,478,0.985,Current and Post Change K-5 Utilization in Boulder
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,414,324,0.995,2025K-5Utilization
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,415,1320,0.995,2030PostClosuresK-5Utilization
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,579,285,0.999,Excess
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,594,1396,0.998,Excess
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,637,285,0.991,Capacity
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,645,1394,0.966,Capacity
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,700,286,1.0,36.9%
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,705,1395,1.0,32.1%
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,764,1579,0.999,Total
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,768,465,0.999,Total
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,821,1580,0.996,Enrollment
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,827,466,0.995,Enrollment
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,884,1580,1.0,67.9%
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,887,467,1.0,63.1%
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,1141,75,0.995,BVSD
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p55.png,1147,2084,0.997,55
data/raw/bvsd/page_renders/trend_report_feb2024_p08.png,668,770,0.992,Enrollment
data/raw/bvsd/page_renders/trend_report_feb2024_p08.png,673,1433,0.997,Trend
data/raw/bvsd/page_renders/trend_report_feb2024_p08.png,678,330,0.995,Annual
data/raw/bvsd/page_renders/trend_report_feb2024_p08.png,835,866,0.997,Report
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,65,1262,0.984,YellowindcatesinitialAdvisoryPhasecriteriamet(<=2roundsand/or<=60%)
data/raw/bvsd/page_renders/trend_report_feb2024_p11.png,68,120,0.994,BVSDCAPACITYSUMMARY2023-24
