school,target_fall,from_vintage,to_vintage,horizon_at_first,first,revised,revision,pct_revision,mountain,abs_pct_revision
Aspen Creek K-8,2027,jan2025,jan2026,3,470.0,503.0,33.0,7.0212765957446805,False,7.0212765957446805
Aspen Creek K-8,2028,jan2025,jan2026,4,471.0,510.0,39.0,8.280254777070065,False,8.280254777070065
Aspen Creek K-8,2029,jan2025,jan2026,5,477.0,511.0,34.0,7.127882599580713,False,7.127882599580713
BCSIS,2026,jan2025,jan2026,2,516.0,529.0,13.0,2.5193798449612403,False,2.5193798449612403
BCSIS,2027,jan2025,jan2026,3,508.0,514.0,6.0,1.1811023622047243,False,1.1811023622047243
BCSIS,2028,jan2025,jan2026,4,509.0,520.0,11.0,2.161100196463654,False,2.161100196463654
BCSIS,2029,jan2025,jan2026,5,512.0,525.0,13.0,2.5390625,False,2.5390625
Bear Creek Elementary,2026,jan2025,jan2026,2,302.0,299.0,-3.0,-0.9933774834437086,False,0.9933774834437086
Bear Creek Elementary,2027,jan2025,jan2026,3,290.0,293.0,3.0,1.0344827586206897,False,1.0344827586206897
Bear Creek Elementary,2028,jan2025,jan2026,4,274.0,288.0,14.0,5.109489051094891,False,5.109489051094891
Bear Creek Elementary,2029,jan2025,jan2026,5,272.0,310.0,38.0,13.970588235294118,False,13.970588235294118
Birch Elementary,2026,jan2025,jan2026,2,262.0,238.0,-24.0,-9.16030534351145,False,9.16030534351145
Birch Elementary,2027,jan2025,jan2026,3,251.0,215.0,-36.0,-14.342629482071713,False,14.342629482071713
Birch Elementary,2028,jan2025,jan2026,4,241.0,205.0,-36.0,-14.937759336099585,False,14.937759336099585
Birch Elementary,2029,jan2025,jan2026,5,242.0,211.0,-31.0,-12.809917355371901,False,12.809917355371901
Coal Creek Elementary School,2026,jan2025,jan2026,2,248.0,256.0,8.0,3.225806451612903,False,3.225806451612903
Coal Creek Elementary School,2027,jan2025,jan2026,3,240.0,252.0,12.0,5.0,False,5.0
Coal Creek Elementary School,2028,jan2025,jan2026,4,242.0,256.0,14.0,5.785123966942149,False,5.785123966942149
Coal Creek Elementary School,2029,jan2025,jan2026,5,247.0,251.0,4.0,1.6194331983805668,False,1.6194331983805668
Columbine Elementary School,2026,jan2025,jan2026,2,345.0,322.0,-23.0,-6.666666666666667,False,6.666666666666667
Columbine Elementary School,2027,jan2025,jan2026,3,333.0,322.0,-11.0,-3.3033033033033035,False,3.3033033033033035
