Vintage 2024 Prepared October 2025,,,,,,
id,countyfips,placefips,municipalityname,year,totalpopulation,countyplace
465,3,1090,Alamosa,1981,7012,301090
466,3,37380,Hooper,1981,75,337380
467,3,99990,Unincorporated Alamosa County,1981,5097,399990
468,5,0,ARAPAHOE COUNTY,1981,315543,500000
469,5,4000,Aurora (Part),1981,141411,504000
470,5,6090,Bennett (Part),1981,,506090
471,5,8070,Bow Mar (Part),1981,688,508070
472,5,12815,Centennial,1981,,512815
473,5,13845,Cherry Hills Village,1981,5137,513845
474,5,16385,Columbine Valley,1981,942,516385
475,5,19630,Deer Trail,1981,466,519630
476,5,24785,Englewood,1981,30925,524785
477,5,28105,Foxfield,1981,,528105
478,5,30340,Glendale,1981,2560,530340
479,5,33035,Greenwood Village,1981,6019,533035
480,5,45255,Littleton (Part),1981,30686,545255
481,5,69645,Sheridan,1981,5398,569645
482,5,99990,Unincorporated Arapahoe County,1981,91311,599990
483,7,0,ARCHULETA COUNTY,1981,4012,700000
484,7,56860,Pagosa Springs,1981,1477,756860
485,7,99990,Unincorporated Archuleta County,1981,2535,799990
486,9,0,BACA COUNTY,1981,5357,900000
487,9,11645,Campo,1981,182,911645
488,9,61315,Pritchett,1981,178,961315
489,9,73330,Springfield,1981,1641,973330
490,9,79270,Two Buttes,1981,81,979270
491,9,81030,Vilas,1981,116,981030
492,9,82460,Walsh,1981,859,982460
493,9,99990,Unincorporated Baca County,1981,2300,999990
494,11,0,BENT COUNTY,1981,5941,1100000
495,11,43660,Las Animas,1981,2845,1143660
496,11,99990,Unincorporated Bent County,1981,3096,1199990
497,13,0,BOULDER COUNTY,1981,194914,1300000
498,13,7850,Boulder,1981,77674,1307850
499,13,9280,Broomfield (Part),1981,14961,1309280
500,13,24950,Erie (Part),1981,22,1324950
501,13,39195,Jamestown,1981,234,1339195
502,13,41835,Lafayette,1981,9786,1341835
503,13,45970,Longmont (Part),1981,44317,1345970
504,13,46355,Louisville,1981,5934,1346355
505,13,47070,Lyons,1981,1181,1347070
506,13,53175,Nederland,1981,1265,1353175
507,13,75640,Superior (Part),1981,214,1375640
508,13,82735,Ward,1981,128,1382735
509,13,99990,Unincorporated Boulder County,1981,39198,1399990
510,14,0,BROOMFIELD COUNTY,1981,,1400000
511,14,9280,Broomfield,1981,,1409280
512,15,0,CHAFFEE COUNTY,1981,13561,1500000
513,15,10105,Buena Vista,1981,2121,1510105
514,15,60600,Poncha Springs,1981,325,1560600
515,15,67280,Salida,1981,5013,1567280
516,15,99990,Unincorporated Chaffee County,1981,6102,1599990
517,17,0,CHEYENNE COUNTY,1981,2209,1700000
518,17,14175,Cheyenne Wells,1981,978,1714175
519,17,41010,Kit Carson,1981,283,1741010
520,17,99990,Unincorporated Cheyenne County,1981,948,1799990
521,19,0,CLEAR CREEK COUNTY,1981,7514,1900000
522,19,12910,Central City (Part),1981,,1912910
523,19,24620,Empire,1981,436,1924620
524,19,29735,Georgetown,1981,886,1929735
525,19,38370,Idaho Springs,1981,2109,1938370
526,19,70360,Silver Plume,1981,144,1970360
527,19,99990,Unincorporated Clear Creek County,1981,3939,1999990
528,21,0,CONEJOS COUNTY,1981,7703,2100000
529,21,2355,Antonito,1981,1069,2102355
530,21,42055,La Jara,1981,840,2142055
531,21,48060,Massa,1981,962,2148060
532,21,65740,Romeo,1981,303,2165740
533,21,67830,Sanford,1981,696,2167830
534,21,99990,Unincorporated Conejos County,1981,3833,2199990
535,23,0,COSTILLA COUNTY,1981,3062,2300000
536,23,7190,Blanca,1981,259,2307190
537,23,68105,San Luis,1981,836,2368105
538,23,99990,Unincorporated Costilla County,1981,1967,2399990
539,25,0,CROWLEY COUNTY,1981,2962,2500000
540,25,18750,Crowley,1981,195,2518750
541,25,55705,Olney Springs,1981,248,2555705
542,25,56145,Ordway,1981,1049,2556145
543,25,74815,Sugar City,1981,299,2574815
544,25,99990,Unincorporated Crowley County,1981,1171,2599990
545,27,0,CUSTER COUNTY,1981,1563,2700000
546,27,70250,Silver Cliff,1981,288,2770250
547,27,83450,Westcliffe,1981,314,2783450
548,27,99990,Unincorporated Custer County,1981,961,2799990
549,29,0,DELTA COUNTY,1981,22479,2900000
550,29,12635,Cedaredge,1981,1226,2912635
551,29,17925,Crawford,1981,262,2917925
552,29,19850,Delta,1981,4160,2919850
553,29,37545,Hotchkiss,1981,881,2937545
554,29,55980,Orchard City,1981,2056,2955980
555,29,57300,Paonia,1981,1530,2957300
556,29,99990,Unincorporated Delta County,1981,12364,2999990
557,31,0,DENVER COUNTY,1981,495990,3100000
558,31,20000,Denver,1981,495990,3120000
559,33,0,DOLORES COUNTY,1981,1680,3300000
560,33,21265,Dove Creek,1981,820,3321265
561,33,64090,Rico,1981,82,3364090
562,33,99990,Unincorporated Dolores County,1981,778,3399990
563,35,0,DOUGLAS COUNTY,1981,27515,3500000
564,35,4000,Aurora (Part),1981,0,3504000
565,35,12387,Castle Pines,1981,,3512390
566,35,12415,Castle Rock,1981,4137,3512415
567,35,43550,Larkspur,1981,151,3543550
568,35,45255,Littleton (Part),1981,127,3545255
569,35,45955,Lone Tree,1981,,3545955
