P14_023NA,P14_025NA,P14_027NA,P14_029NA,P14_008NA,P14_006NA,P14_040NA,P14_004NA,P14_042NA,P14_002NA,P14_021NA,P14_020N,P14_040N,P14_024N,P14_012N,P14_032N,P14_028N,P14_016N,P14_004N,P14_036N,P14_008N,P14_013NA,P14_034NA,P14_015NA,P14_036NA,P14_017NA,P14_038NA,P14_019NA,P14_030NA,NAME,P14_011NA,P14_032NA,P14_031N,P14_035N,P14_023N,P14_011N,P14_043N,P14_039N,P14_027N,P14_015N,P14_003N,P14_019N,P14_007N,P14_024NA,P14_026NA,P14_028NA,P14_007NA,P14_005NA,P14_003NA,P14_020NA,P14_041NA,P14_001NA,P14_022NA,P14_043NA,P14_042N,P14_030N,P14_002N,P14_034N,P14_022N,P14_010N,P14_006N,P14_038N,P14_026N,P14_014N,P14_018N,P14_012NA,P14_035NA,P14_014NA,P14_037NA,P14_016NA,P14_039NA,P14_018NA,P14_031NA,P14_010NA,P14_033NA,GEO_ID,P14_041N,P14_013N,P14_001N,P14_033N,P14_009NA,P14_021N,P14_017N,P14_005N,P14_037N,P14_025N,P14_009N,P14_029N
,,,,,,,,,,,6,1,2,5,4,2,10,2,8,5,,,,,,,,,Block Group 3; Census Tract 125.05; Boulder County; Colorado,,,11,4,102,5,12,3,10,4,1,12,1,,,,,,,,,,,,5,5,105,4,4,6,2,10,0,0,6,,,,,,,,,,,1500000US080130125053,6,6,207,7,,7,8,9,2,1,6,5
,,,,,,,,,,,6,3,7,3,8,6,5,2,7,14,,,,,,,,,Block Group 1; Census Tract 125.07; Boulder County; Colorado,,,1,4,102,0,10,7,2,6,8,7,12,,,,,,,,,,,,7,4,150,6,35,6,3,0,8,5,5,,,,,,,,,,,1500000US080130125071,4,8,252,5,,2,7,7,6,3,9,4
,,,,,,,,,,,2,1,3,6,3,7,4,5,7,7,,,,,,,,,Block Group 2; Census Tract 125.07; Boulder County; Colorado,,,10,6,138,6,24,5,7,14,10,4,3,,,,,,,,,,,,8,9,140,5,41,6,5,4,11,0,3,,,,,,,,,,,1500000US080130125072,5,9,278,6,,3,2,4,6,2,6,9
,,,,,,,,,,,6,2,2,0,0,7,4,2,4,4,,,,,,,,,Block Group 3; Census Tract 125.07; Boulder County; Colorado,,,7,3,87,0,4,1,5,0,9,6,4,,,,,,,,,,,,2,8,79,8,3,1,3,1,7,5,5,,,,,,,,,,,1500000US080130125073,6,6,166,5,,8,4,8,6,2,1,7
,,,,,,,,,,,7,7,1,5,4,3,13,5,4,6,,,,,,,,,Block Group 1; Census Tract 125.08; Boulder County; Colorado,,,9,2,94,6,9,11,6,8,2,1,6,,,,,,,,,,,,1,4,113,6,6,6,0,3,2,2,10,,,,,,,,,,,1500000US080130125081,4,2,207,3,,8,5,9,9,1,6,5
,,,,,,,,,,,4,0,1,3,2,7,2,5,1,1,,,,,,,,,Block Group 2; Census Tract 125.08; Boulder County; Colorado,,,3,5,74,0,5,0,7,3,5,6,5,,,,,,,,,,,,3,2,76,6,5,7,2,2,7,4,4,,,,,,,,,,,1500000US080130125082,2,6,150,3,,7,4,0,3,10,3,5
,,,,,,,,,,,5,1,7,6,4,7,1,1,2,8,,,,,,,,,Block Group 3; Census Tract 125.08; Boulder County; Colorado,,,7,0,74,4,1,4,1,6,3,1,4,,,,,,,,,,,,4,1,75,1,8,1,7,3,8,1,3,,,,,,,,,,,1500000US080130125083,9,0,149,2,,2,3,2,6,2,9,4
,,,,,,,,,,,3,2,0,6,5,4,7,1,9,4,,,,,,,,,Block Group 1; Census Tract 125.09; Boulder County; Colorado,,,9,11,115,4,4,5,6,10,3,7,3,,,,,,,,,,,,7,4,104,6,4,13,2,9,0,3,2,,,,,,,,,,,1500000US080130125091,10,15,219,6,,6,7,3,10,5,1,3
,,,,,,,,,,,13,20,2,17,15,6,11,4,11,10,,,,,,,,,Block Group 2; Census Tract 125.09; Boulder County; Colorado,,,10,11,215,18,6,9,8,15,6,9,9,,,,,,,,,,,,10,8,220,19,6,12,9,8,11,10,16,,,,,,,,,,,1500000US080130125092,12,16,435,5,,4,22,4,24,4,9,16
,,,,,,,,,,,11,7,2,0,5,3,5,2,6,2,,,,,,,,,Block Group 3; Census Tract 125.09; Boulder County; Colorado,,,0,7,96,11,0,12,0,9,1,7,0,,,,,,,,,,,,1,3,94,12,0,0,4,9,2,7,7,,,,,,,,,,,1500000US080130125093,5,6,190,3,,1,10,4,6,5,7,8
,,,,,,,,,,,8,4,2,1,2,0,5,2,7,5,,,,,,,,,Block Group 1; Census Tract 125.10; Boulder County; Colorado,,,4,3,86,2,11,4,4,3,0,15,6,,,,,,,,,,,,4,6,75,6,2,4,7,10,1,4,3,,,,,,,,,,,1500000US080130125101,8,0,161,4,,2,2,2,5,0,2,1
,,,,,,,,,,,7,2,3,5,8,1,3,1,19,1,,,,,,,,,Block Group 2; Census Tract 125.10; Boulder County; Colorado,,,10,6,138,10,4,14,8,7,2,14,2,,,,,,,,,,,,6,2,131,10,5,7,3,10,7,5,9,,,,,,,,,,,1500000US080130125102,1,9,269,9,,10,13,6,9,1,12,8
,,,,,,,,,,,16,9,5,11,8,7,14,1,7,5,,,,,,,,,Block Group 3; Census Tract 125.10; Boulder County; Colorado,,,12,7,150,10,3,18,0,8,3,16,3,,,,,,,,,,,,10,10,149,19,9,0,2,6,3,13,9,,,,,,,,,,,1500000US080130125103,10,8,299,9,,7,10,0,7,0,4,0
,,,,,,,,,,,4,7,0,0,3,0,5,2,2,1,,,,,,,,,Block Group 4; Census Tract 125.10; Boulder County; Colorado,,,6,7,62,3,5,3,4,2,2,2,0,,,,,,,,,,,,0,1,57,3,0,0,0,4,5,1,9,,,,,,,,,,,1500000US080130125104,4,6,119,3,,7,5,6,2,2,2,1
,,,,,,,,,,,7,4,2,6,8,8,9,3,10,2,,,,,,,,,Block Group 1; Census Tract 125.11; Boulder County; Colorado,,,5,5,94,7,5,6,3,2,3,4,5,,,,,,,,,,,,4,10,107,2,4,9,2,5,3,7,2,,,,,,,,,,,1500000US080130125111,1,3,201,6,,9,2,12,6,1,9,0
,,,,,,,,,,,13,3,6,4,2,8,11,4,4,7,,,,,,,,,Block Group 2; Census Tract 125.11; Boulder County; Colorado,,,5,8,140,10,15,7,5,12,8,1,6,,,,,,,,,,,,13,4,148,5,11,6,7,15,5,7,10,,,,,,,,,,,1500000US080130125112,9,11,288,4,,6,6,1,8,7,7,7
,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,,,,,,,,,Block Group 3; Census Tract 125.11; Boulder County; Colorado,,,0,0,1205,0,666,0,0,0,0,0,1,,,,,,,,,,,,535,0,1080,0,685,0,0,0,0,0,0,,,,,,,,,,,1500000US080130125113,3,0,2285,0,,391,1,0,0,0,0,0
,,,,,,,,,,,14,7,1,9,10,3,5,5,8,4,,,,,,,,,Block Group 1; Census Tract 126.03; Boulder County; Colorado,,,5,2,112,9,11,14,2,11,2,9,2,,,,,,,,,,,,3,7,129,4,0,5,11,6,4,3,10,,,,,,,,,,,1500000US080130126031,8,4,241,2,,2,12,8,12,2,4,1
,,,,,,,,,,,10,10,8,7,10,4,8,6,6,8,,,,,,,,,Block Group 2; Census Tract 126.03; Boulder County; Colorado,,,5,5,112,3,6,1,4,9,3,14,2,,,,,,,,,,,,6,8,132,6,7,6,1,3,7,4,12,,,,,,,,,,,1500000US080130126032,9,4,244,3,,11,7,5,1,2,5,8
,,,,,,,,,,,4,3,0,1,7,3,3,3,3,6,,,,,,,,,Block Group 3; Census Tract 126.03; Boulder County; Colorado,,,4,9,82,0,3,10,3,5,5,2,8,,,,,,,,,,,,3,4,81,5,2,5,3,6,2,9,5,,,,,,,,,,,1500000US080130126033,1,7,163,6,,4,5,0,5,1,4,4
,,,,,,,,,,,2,0,2,0,0,1,1,2,2,0,,,,,,,,,Block Group 1; Census Tract 126.05; Boulder County; Colorado,,,1,0,20,0,4,0,0,0,0,2,0,,,,,,,,,,,,0,0,19,4,3,0,3,1,1,0,0,,,,,,,,,,,1500000US080130126051,2,0,39,0,,3,0,1,1,0,2,1
